dx,dxname,dxshort,edcnnpa,edcnpa,epct,noner,alcohol,drug,injury,psych,unc
0010,CHOLERA D/T VIB CHOLERAE,CHOLERA D/T VIB CHOLERAE,0,0,0,0,0,0,0,0,1
0011,CHOLERA D/T VIB EL TOR,CHOLERA D/T VIB EL TOR,0,0,0,0,0,0,0,0,1
0019,CHOLERA NOS,CHOLERA NOS,0,0,0,0,0,0,0,0,1
0020,TYPHOID FEVER,TYPHOID FEVER,0,0,0,0,0,0,0,0,1
0021,PARATYPHOID FEVER A,PARATYPHOID FEVER A,0,0,0,0,0,0,0,0,1
0022,PARATYPHOID FEVER B,PARATYPHOID FEVER B,0,0,0,0,0,0,0,0,1
0023,PARATYPHOID FEVER C,PARATYPHOID FEVER C,0,0,0,0,0,0,0,0,1
0029,PARATYPHOID FEVER NOS,PARATYPHOID FEVER NOS,0,0,0,0,0,0,0,0,1
0030,SALMONELLA ENTERITIS,SALMONELLA ENTERITIS,0,0,0,0,0,0,0,0,1
0031,SALMONELLA SEPTICEMIA,SALMONELLA SEPTICEMIA,0,0,0,0,0,0,0,0,1
00320,LOCAL SALMONELLA INF NOS,LOCAL SALMONELLA INF NOS,0,0,0,0,0,0,0,0,1
00321,SALMONELLA MENINGITIS,SALMONELLA MENINGITIS,0,0,0,0,0,0,0,0,1
00322,SALMONELLA PNEUMONIA,SALMONELLA PNEUMONIA,0,0,0,0,0,0,0,0,1
00323,SALMONELLA ARTHRITIS,SALMONELLA ARTHRITIS,0,0,0,0,0,0,0,0,1
00324,SALMONELLA OSTEOMYELITIS,SALMONELLA OSTEOMYELITIS,0,0,0,0,0,0,0,0,1
00329,LOCAL SALMONELLA INF NEC,LOCAL SALMONELLA INF NEC,0,0,0,0,0,0,0,0,1
0038,SALMONELLA INFECTION NEC,SALMONELLA INFECTION NEC,0,0,0,0,0,0,0,0,1
0039,SALMONELLA INFECTION NOS,SALMONELLA INFECTION NOS,0,0,0,0,0,0,0,0,1
0040,SHIGELLA DYSENTERIAE,SHIGELLA DYSENTERIAE,0,0,0,0,0,0,0,0,1
0041,SHIGELLA FLEXNERI,SHIGELLA FLEXNERI,0,0,0,0,0,0,0,0,1
0042,SHIGELLA BOYDII,SHIGELLA BOYDII,0,0,0,0,0,0,0,0,1
0043,SHIGELLA SONNEI,SHIGELLA SONNEI,0,0,0,0,0,0,0,0,1
0048,SHIGELLA INFECTION NEC,SHIGELLA INFECTION NEC,0,0,0,0,0,0,0,0,1
0049,SHIGELLOSIS NOS,SHIGELLOSIS NOS,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0,0
0050,STAPH FOOD POISONING,STAPH FOOD POISONING,0,0,0,0,0,0,0,0,1
0051,BOTULISM,BOTULISM,0,0,0,0,0,0,0,0,1
0052,FOOD POIS D/T C. PERFRIN,FOOD POIS D/T C. PERFRIN,0,0,0,0,0,0,0,0,1
0053,FOOD POIS: CLOSTRID NEC,FOOD POIS: CLOSTRID NEC,0,0,0,0,0,0,0,0,1
0054,FOOD POIS: V. PARAHAEM,FOOD POIS: V. PARAHAEM,0,0,0,0,0,0,0,0,1
00581,FOOD POISN D/T V. VULNIF,FOOD POISN D/T V. VULNIF,0,0,0,0,0,0,0,0,1
00589,BACT FOOD POISONING NEC,BACT FOOD POISONING NEC,0,0,0,0,0,0,0,0,1
0059,FOOD POISONING NOS,FOOD POISONING NOS,0,0,0,0,0,0,0,0,1
0060,AC AMEBIASIS W/O ABSCESS,AC AMEBIASIS W/O ABSCESS,0,0,0,0,0,0,0,0,1
0061,CHR AMEBIASIS W/O ABSCES,CHR AMEBIASIS W/O ABSCES,0,0,0,0,0,0,0,0,1
0062,AMEBIC NONDYSENT COLITIS,AMEBIC NONDYSENT COLITIS,0,0,0,0,0,0,0,0,1
0063,AMEBIC LIVER ABSCESS,AMEBIC LIVER ABSCESS,0,0,0,0,0,0,0,0,1
0064,AMEBIC LUNG ABSCESS,AMEBIC LUNG ABSCESS,0,0,0,0,0,0,0,0,1
0065,AMEBIC BRAIN ABSCESS,AMEBIC BRAIN ABSCESS,0,0,0,0,0,0,0,0,1
0066,AMEBIC SKIN ULCERATION,AMEBIC SKIN ULCERATION,0,0,0,0,0,0,0,0,1
0068,AMEBIC INFECTION NEC,AMEBIC INFECTION NEC,0,0,0,0,0,0,0,0,1
0069,AMEBIASIS NOS,AMEBIASIS NOS,0,0,0,0,0,0,0,0,1
0070,BALANTIDIASIS,BALANTIDIASIS,0,0,0,0,0,0,0,0,1
0071,GIARDIASIS,GIARDIASIS,0,0,0,0,0,0,0,0,1
0072,COCCIDIOSIS,COCCIDIOSIS,0,0,0,0,0,0,0,0,1
0073,INTEST TRICHOMONIASIS,INTEST TRICHOMONIASIS,0,0,0,0,0,0,0,0,1
0074,CRYPTOSPORIDIOSIS,CRYPTOSPORIDIOSIS,0,0,0,0,0,0,0,0,1
0075,CYCLOSPORIASIS,CYCLOSPORIASIS,0,0,0,0,0,0,0,0,1
0078,PROTOZOAL INTEST DIS NEC,PROTOZOAL INTEST DIS NEC,0,0,0,0,0,0,0,0,1
0079,PROTOZOAL INTEST DIS NOS,PROTOZOAL INTEST DIS NOS,0,0,0,0,0,0,0,0,1
00800,INTEST INFEC E COLI NOS,INTEST INFEC E COLI NOS,0,0,0,0,0,0,0,0,1
00801,INT INF E COLI ENTRPATH,INT INF E COLI ENTRPATH,0,0,0,0,0,0,0,0,1
00802,INT INF E COLI ENTRTOXGN,INT INF E COLI ENTRTOXGN,0,0,0,0,0,0,0,0,1
00803,INT INF E COLI ENTRNVSV,INT INF E COLI ENTRNVSV,0,0,0,0,0,0,0,0,1
00804,INT INF E COLI ENTRHMRG,INT INF E COLI ENTRHMRG,0,0,0,0,0,0,0,0,1
00809,INT INF E COLI SPCF NEC,INT INF E COLI SPCF NEC,0,0,0,0,0,0,0,0,1
0081,ARIZONA ENTERITIS,ARIZONA ENTERITIS,0,0,0,0,0,0,0,0,1
0082,AEROBACTER ENTERITIS,AEROBACTER ENTERITIS,0,0,0,0,0,0,0,0,1
0083,PROTEUS ENTERITIS,PROTEUS ENTERITIS,0,0,0,0,0,0,0,0,1
00841,STAPHYLOCOCC ENTERITIS,STAPHYLOCOCC ENTERITIS,0,0,0,0,0,0,0,0,1
00842,PSEUDOMONAS ENTERITIS,PSEUDOMONAS ENTERITIS,0,0,0,0,0,0,0,0,1
00843,INT INFEC CAMPYLOBACTER,INT INFEC CAMPYLOBACTER,0,0,0,0,0,0,0,0,1
00844,INT INF YRSNIA ENTRCLTCA,INT INF YRSNIA ENTRCLTCA,0,0,0,0,0,0,0,0,1
00845,INT INF CLSTRDIUM DFCILE,INT INF CLSTRDIUM DFCILE,0,0,0,0,0,0,0,0,1
00846,INTES INFEC OTH ANEROBES,INTES INFEC OTH ANEROBES,0,0,0,0,0,0,0,0,1
00847,INT INF OTH GRM NEG BCTR,INT INF OTH GRM NEG BCTR,0,0,0,0,0,0,0,0,1
00849,BACTERIAL ENTERITIS NEC,BACTERIAL ENTERITIS NEC,0,0,0,0,0,0,0,0,1
0085,BACTERIAL ENTERITIS NOS,BACTERIAL ENTERITIS NOS,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0,0
00861,INTES INFEC ROTAVIRUS,INTES INFEC ROTAVIRUS,0,0,0,0,0,0,0,0,1
00862,INTES INFEC ADENOVIRUS,INTES INFEC ADENOVIRUS,0,0,0,0,0,0,0,0,1
00863,INT INF NORWALK VIRUS,INT INF NORWALK VIRUS,0,0,0,0,0,0,0,0,1
00864,INT INF OTH SML RND VRUS,INT INF OTH SML RND VRUS,0,0,0,0,0,0,0,0,1
00865,INTES INFEC CALCIVIRUS,INTES INFEC CALCIVIRUS,0,0,0,0,0,0,0,0,1
00866,INTES INFEC ASTROVIRUS,INTES INFEC ASTROVIRUS,0,0,0,0,0,0,0,0,1
00867,INT INF ENTEROVIRUS NEC,INT INF ENTEROVIRUS NEC,0,0,0,0,0,0,0,0,1
00869,OTHER VIRAL INTES INFEC,OTHER VIRAL INTES INFEC,0,0,0,0,0,0,0,0,1
0088,VIRAL ENTERITIS NOS,VIRAL ENTERITIS NOS,0.1714285714,0,0.4571428571,0.3714285714,0,0,0,0,0
0090,INFECTIOUS ENTERITIS NOS,INFECTIOUS ENTERITIS NOS,0,0,0,0,0,0,0,0,1
0091,ENTERITIS OF INFECT ORIG,ENTERITIS OF INFECT ORIG,0,0,0,0,0,0,0,0,1
0092,INFECTIOUS DIARRHEA NOS,INFECTIOUS DIARRHEA NOS,0,0,0,0,0,0,0,0,1
0093,DIARRHEA OF INFECT ORIG,DIARRHEA OF INFECT ORIG,0,0,0,0,0,0,0,0,1
01000,PRIM TB COMPLEX-UNSPEC,PRIM TB COMPLEX-UNSPEC,0,0,0,0,0,0,0,0,1
01001,PRIM TB COMPLEX-NO EXAM,PRIM TB COMPLEX-NO EXAM,0,0,0,0,0,0,0,0,1
01002,PRIM TB COMPLEX-EXM UNKN,PRIM TB COMPLEX-EXM UNKN,0,0,0,0,0,0,0,0,1
01003,PRIM TB COMPLEX-MICRO DX,PRIM TB COMPLEX-MICRO DX,0,0,0,0,0,0,0,0,1
01004,PRIM TB COMPLEX-CULT DX,PRIM TB COMPLEX-CULT DX,0,0,0,0,0,0,0,0,1
01005,PRIM TB COMPLEX-HISTO DX,PRIM TB COMPLEX-HISTO DX,0,0,0,0,0,0,0,0,1
01006,PRIM TB COMPLEX-OTH TEST,PRIM TB COMPLEX-OTH TEST,0,0,0,0,0,0,0,0,1
01010,PRIM TB PLEURISY-UNSPEC,PRIM TB PLEURISY-UNSPEC,0,0,0,0,0,0,0,0,1
01011,PRIM TB PLEURISY-NO EXAM,PRIM TB PLEURISY-NO EXAM,0,0,0,0,0,0,0,0,1
01012,PRIM TB PLEUR-EXAM UNKN,PRIM TB PLEUR-EXAM UNKN,0,0,0,0,0,0,0,0,1
