dx,dxname,dxshort,edcnnpa,edcnpa,epct,noner,alcohol,drug,injury,psych,unc
0010,Cholera due to vibrio cholerae,Cholera d/t vib cholerae,0,0,0,0,0,0,0,0,1
0011,Cholera due to vibrio cholerae el tor,Cholera d/t vib el tor,0,0,0,0,0,0,0,0,1
0019,"Cholera, unspecified",Cholera NOS,0,0,0,0,0,0,0,0,1
0020,Typhoid fever,Typhoid fever,0,0,0,0,0,0,0,0,1
0021,Paratyphoid fever A,Paratyphoid fever a,0,0,0,0,0,0,0,0,1
0022,Paratyphoid fever B,Paratyphoid fever b,0,0,0,0,0,0,0,0,1
0023,Paratyphoid fever C,Paratyphoid fever c,0,0,0,0,0,0,0,0,1
0029,"Paratyphoid fever, unspecified",Paratyphoid fever NOS,0,0,0,0,0,0,0,0,1
0030,Salmonella gastroenteritis,Salmonella enteritis,0,0,1,0,0,0,0,0,0
0031,Salmonella septicemia,Salmonella septicemia,0,0,0,0,0,0,0,0,1
00320,"Localized salmonella infection, unspecified",Local salmonella inf NOS,0,0,0,0,0,0,0,0,1
00321,Salmonella meningitis,Salmonella meningitis,0,0,0,0,0,0,0,0,1
00322,Salmonella pneumonia,Salmonella pneumonia,0,0,0,0,0,0,0,0,1
00323,Salmonella arthritis,Salmonella arthritis,0,0,0,0,0,0,0,0,1
00324,Salmonella osteomyelitis,Salmonella osteomyelitis,0,0,0,0,0,0,0,0,1
00329,Other localized salmonella infections,Local salmonella inf NEC,0,0,0,0,0,0,0,0,1
0038,Other specified salmonella infections,Salmonella infection NEC,0,0,0,0,0,0,0,0,1
0039,"Salmonella infection, unspecified",Salmonella infection NOS,0,0,0,0,0,0,0,0,1
0040,Shigella dysenteriae,Shigella dysenteriae,0,0,0,0,0,0,0,0,1
0041,Shigella flexneri,Shigella flexneri,0,0,0,0,0,0,0,0,1
0042,Shigella boydii,Shigella boydii,0,0,0,0,0,0,0,0,1
0043,Shigella sonnei,Shigella sonnei,0,0,0,0,0,0,0,0,1
0048,Other specified shigella infections,Shigella infection NEC,0,0,0,0,0,0,0,0,1
0049,"Shigellosis, unspecified",Shigellosis NOS,0.17142857142857149,0,0.45714285714285696,0.3714285714285715,0,0,0,0,0
0050,Staphylococcal food poisoning,Staph food poisoning,0,0,0,0,0,0,0,0,1
0051,Botulism food poisoning,Botulism food poisoning,0,0,0,0,0,0,0,0,1
0052,Food poisoning due to Clostridium perfringens (C. welchii),Food pois d/t c. perfrin,0,0,0,0,0,0,0,0,1
0053,Food poisoning due to other Clostridia,Food pois: clostrid NEC,0,0,0,0,0,0,0,0,1
0054,Food poisoning due to Vibrio parahaemolyticus,Food pois: v. parahaem,0,0,0,0,0,0,0,0,1
00581,Food poisoning due to Vibrio vulnificus,Food poisn d/t v. vulnif,0,0,0,0,0,0,0,0,1
00589,Other bacterial food poisoning,Bact food poisoning NEC,0,0,0,0,0,0,0,0,1
0059,"Food poisoning, unspecified",Food poisoning NOS,0.17142857142857149,0,0.45714285714285696,0.3714285714285715,0,0,0,0,0
0060,Acute amebic dysentery without mention of abscess,Ac amebiasis w/o abscess,0,0,0,0,0,0,0,0,1
0061,Chronic intestinal amebiasis without mention of abscess,Chr amebiasis w/o absces,0,0,0,0,0,0,0,0,1
0062,Amebic nondysenteric colitis,Amebic nondysent colitis,0,0,0,0,0,0,0,0,1
0063,Amebic liver abscess,Amebic liver abscess,0,0,0,0,0,0,0,0,1
0064,Amebic lung abscess,Amebic lung abscess,0,0,0,0,0,0,0,0,1
0065,Amebic brain abscess,Amebic brain abscess,0,0,0,0,0,0,0,0,1
0066,Amebic skin ulceration,Amebic skin ulceration,0,0,0,0,0,0,0,0,1
0068,Amebic infection of other sites,Amebic infection NEC,0,0,0,0,0,0,0,0,1
0069,"Amebiasis, unspecified",Amebiasis NOS,0,0,0,0,0,0,0,0,1
0070,Balantidiasis,Balantidiasis,0,0,0,0,0,0,0,0,1
0071,Giardiasis,Giardiasis,0,0,0,0,0,0,0,0,1
0072,Coccidiosis,Coccidiosis,0,0,0,0,0,0,0,0,1
0073,Intestinal trichomoniasis,Intest trichomoniasis,0,0,0,0,0,0,0,0,1
0074,Cryptosporidiosis,Cryptosporidiosis,0,0,0,0,0,0,0,0,1
0075,Cyclosporiasis,Cyclosporiasis,0,0,0,0,0,0,0,0,1
0078,Other specified protozoal intestinal diseases,Protozoal intest dis NEC,0,0,0,0,0,0,0,0,1
0079,Unspecified protozoal intestinal disease,Protozoal intest dis NOS,0,0,0,0,0,0,0,0,1
00800,"Intestinal infection due to E. coli, unspecified",Intest infec e coli NOS,0,0,0,0,0,0,0,0,1
00801,Intestinal infection due to enteropathogenic E. coli,Int inf e coli entrpath,0,0,0,0,0,0,0,0,1
00802,Intestinal infection due to enterotoxigenic E. coli,Int inf e coli entrtoxgn,0,0,0,0,0,0,0,0,1
00803,Intestinal infection due to enteroinvasive E. coli,Int inf e coli entrnvsv,0,0,0,0,0,0,0,0,1
00804,Intestinal infection due to enterohemorrhagic E. coli,Int inf e coli entrhmrg,0,0,0,0,0,0,0,0,1
00809,Intestinal infection due to other intestinal E. coli infections,Int inf e coli spcf NEC,0,0,0,0,0,0,0,0,1
0081,Intestinal infection due to arizona group of paracolon bacilli,Arizona enteritis,0,0,0,0,0,0,0,0,1
0082,Intestinal infection due to aerobacter aerogenes,Aerobacter enteritis,0,0,0,0,0,0,0,0,1
0083,Intestinal infection due to proteus (mirabilis) (morganii),Proteus enteritis,0,0,0,0,0,0,0,0,1
00841,Intestinal infection due to staphylococcus,Staphylococc enteritis,0,0,0,0,0,0,0,0,1
00842,Intestinal infection due to pseudomonas,Pseudomonas enteritis,0,0,0,0,0,0,0,0,1
00843,Intestinal infection due to campylobacter,Int infec campylobacter,0,0,0,0,0,0,0,0,1
00844,Intestinal infection due to yersinia enterocolitica,Int inf yrsnia entrcltca,0,0,0,0,0,0,0,0,1
00845,Intestinal infection due to Clostridium difficile,Int inf clstrdium dfcile,0,0,0,0,0,0,0,0,1
00846,Intestinal infection due to other anaerobes,Intes infec oth anerobes,0,0,0,0,0,0,0,0,1
00847,Intestinal infection due to other gram-negative bacteria,Int inf oth grm neg bctr,0,0,0,0,0,0,0,0,1
00849,Intestinal infection due to other organisms,Bacterial enteritis NEC,0,0,0,0,0,0,0,0,1
0085,"Bacterial enteritis, unspecified",Bacterial enteritis NOS,0.17142857142857149,0,0.45714285714285696,0.3714285714285715,0,0,0,0,0
00861,Enteritis due to rotavirus,Intes infec rotavirus,0,0,0,0,0,0,0,0,1
00862,Enteritis due to adenovirus,Intes infec adenovirus,0,0,0,0,0,0,0,0,1
00863,Enteritis due to norwalk virus,Int inf norwalk virus,0,0,0,0,0,0,0,0,1
00864,Enteritis due to other small round viruses [SRV's],Int inf oth sml rnd vrus,0,0,0,0,0,0,0,0,1
00865,Enteritis due to calicivirus,Enteritis d/t calicivirs,0,0,0,0,0,0,0,0,1
00866,Enteritis due to astrovirus,Intes infec astrovirus,0,0,0,0,0,0,0,0,1
00867,Enteritis due to enterovirus nec,Int inf enterovirus NEC,0,0,0,0,0,0,0,0,1
00869,Enteritis due to other viral enteritis,Other viral intes infec,0,0,0,0,0,0,0,0,1
0088,"Intestinal infection due to other organism, not elsewhere classified",Viral enteritis NOS,0.17142857142857149,0,0.45714285714285696,0.3714285714285715,0,0,0,0,0
0090,"Infectious colitis, enteritis, and gastroenteritis",Infectious enteritis NOS,0,0,0,1,0,0,0,0,0
0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",Enteritis of infect orig,0,0,0,0,0,0,0,0,1
0092,Infectious diarrhea,Infectious diarrhea NOS,0,0,0,0,0,0,0,0,1
0093,Diarrhea of presumed infectious origin,Diarrhea of infect orig,0,0,0,0,0,0,0,0,1
01000,"Primary tuberculous infection, unspecified",Prim TB complex-unspec,0,0,0,0,0,0,0,0,1
