startswith,original,target
0,7865,78650
1,789,7890
1,042,042
1,043,042
1,044,042
1,0781,0781
1,2501,2501
1,2780,2780
1,4151,4151
1,493,493
1,5301,5301
1,5751,5751
1,6860,6860
1,7807,7807
0,78700,7870
0,78701,7870
0,78702,7870
0,78703,7870
0,78840,7884
0,78841,7884
0,78842,7884
0,78843,7884
1,850,850
1,8540,854
1,8541,854
1,9898,9898
1,9955,9955
1,9970,9970
0,99810,9981
0,99811,9981
0,99812,9981
0,99813,9981
1,v72,V72
1,V72,V72
0,0049,0059
0,0085,0059
0,0088,0059
0,0389,0381
0,7907,0381
0,0579,05700
0,0542,5280
0,0740,5280
0,5282,5280
0,0792,075
0,0799,075
0,07999,075
0,1104,1100
0,1108,1100
0,1109,1100
0,1110,1100
0,1319,13101
0,25001,25000
0,2510,2512
0,28261,28260
0,28262,28260
0,29532,29530
0,29590,29530
0,2989,29530
0,30001,30000
0,3009,30000
0,3061,30000
0,78601,30000
0,30400,30390
0,30500,30390
0,30560,30390
0,3058,30390
0,30590,30390
0,30781,7840
0,3469,7840
0,34690,7840
0,3559,3549
0,37200,0779
0,37203,0779
0,37214,0779
0,37230,0779
0,38101,3829
0,41090,4111
0,436,4359
0,4549,4540
0,4553,4550
0,4556,4550
0,4558,4552
0,0340,462
0,4620,462
0,463,462
0,460,4660
0,4658,4660
0,4659,4660
0,4660,4660
0,490,4660
0,4779,4739
0,4809,485
0,486,485
0,5210,5220
0,5225,5220
0,5233,5231
0,5234,5231
0,5239,5231
0,53390,5339
0,53550,53500
0,5889,586
0,5921,5920
0,5929,5920
0,5941,5920
0,7880,5920
0,59780,0980
0,7887,0980
0,5959,5990
0,6159,6149
0,61610,6160
0,6168,6160
0,6269,6268
0,64003,64000
0,64093,64000
0,64193,64000
0,64390,64303
0,64413,64410
0,6809,6806
0,68102,68100
0,68110,68100
0,68111,68100
1,682,682
0,684,682
0,6869,682
0,6926,6918
0,6929,6918
0,7821,6918
0,7079,7071
0,70890,7089
0,71590,71946
0,71596,71946
0,71690,71946
0,71697,71946
0,71940,71946
0,71941,71946
0,71943,71946
0,7210,7235
0,7231,7235
0,72190,7248
0,7242,7248
0,7245,7248
0,73399,7329
0,78052,78050
0,80702,80700
0,81209,81200
0,81220,81200
0,81240,81200
0,81241,81200
0,81342,81341
0,81344,81341
0,81381,81341
0,81400,81341
0,81600,81500
0,81601,81500
0,81602,81500
0,8248,8242
0,82525,82520
0,8260,82520
0,83101,83100
0,83209,83200
0,8419,8409
0,84210,84200
0,8449,8439
0,84509,84500
0,84510,84500
0,8469,8460
0,8479,8460
0,8709,8708
0,87261,38420
0,8731,8730
0,87340,87320
0,87341,87320
0,87342,87320
0,87343,87320
0,87344,87320
0,87353,87320
0,87360,87320
0,87364,87320
0,8760,8750
0,8770,8750
0,88003,88000
0,88100,88000
0,8840,88000
0,8820,88102
0,8910,8900
0,8930,8920
0,9110,9100
0,9130,9100
0,9150,9100
0,9160,9100
0,9170,9100
0,9190,9100
0,9189,9181
0,9195,9194
0,9196,9156
0,9212,920
0,9213,920
0,9219,920
0,9222,9221
0,9223,9221
0,92310,92300
0,92311,92300
0,92320,92300
0,9233,92300
0,9238,92300
0,9239,92300
0,92401,92400
0,92411,92400
0,92420,92400
0,92421,92400
0,9243,92400
0,9245,92400
0,9330,933
0,938,936
0,94321,94120
0,94421,94120
0,94500,94120
0,94522,94120
0,94526,94120
0,9462,94120
0,9490,94120
0,9700,9691
0,V709,V708
0,v709,V708
0,0380,0381
0,25060,25080
0,25061,25080
0,25081,25080
0,25082,25080
0,25083,25080
0,2740,2749
0,2761,2765
0,2768,2767
0,2910,29181
0,30300,30301
0,30420,30561
0,3080,3089
0,3090,311
0,38100,3814
0,38200,38110
0,40291,4019
0,40391,4019
0,40493,4019
0,41001,41091
0,41011,41091
0,41021,41091
0,41041,41091
0,41071,41091
0,41400,4149
0,41401,4149
0,4260,42613
0,42732,42731
0,4279,42789
0,43311,4359
0,43401,4359
0,43411,4359
0,43491,4359
0,4554,4552
0,4610,4619
0,4661,46619
0,46611,46619
0,4730,4739
0,4770,4781
0,481,485
0,4821,485
0,4824,485
0,48283,485
0,48289,485
0,53081,5301
0,53100,5339
0,53140,5339
0,53240,5339
0,5400,541
0,5401,541
0,5409,541
0,56081,5609
0,57400,57420
0,57410,57420
0,5750,57420
0,5770,5772
0,5771,5772
0,5950,5990
0,6089,6084
0,6142,6149
0,6143,6149
0,6331,6339
0,6338,6339
0,63491,63490
0,63492,63490
0,64183,64303
0,64313,64303
0,6850,6851
0,71696,71695
0,71949,71947
0,7213,7243
0,72210,7243
0,7241,7243
0,72709,72705
0,7803,78039
0,78031,78039
0,8024,8028
0,80700,80701
0,80703,80701
0,81201,81200
0,81305,81200
0,81343,81383
0,82101,82100
0,82380,82382
0,82381,82382
0,8240,8242
0,8244,8242
0,8246,8242
0,8250,82520
0,83104,83100
0,8408,8409
0,84213,84209
0,8441,8448
0,8471,8472
0,87200,87201
0,8728,87201
0,8738,8744
0,8748,8744
0,88110,88120
0,8821,8822
0,8831,8830
0,8832,8830
0,8921,8920
0,9104,9105
0,9114,9105
0,9134,9135
0,9140,9141
0,9164,9175
0,9165,9175
0,9180,9181
0,92232,92231
0,9331,933
0,9351,933
0,9404,9409
0,94524,94420
0,9592,9593
0,9630,9654
0,9690,9654
0,9694,9691
0,9985,99883
0,99859,99883
0,99889,99883
0,V589,V5889
