dx,xed1,xed2,xed3,xed4,cases
0569,1,0,0,0,1
05700,0.2857142857,0.7142857143,0,0,7
0709,1,0,0,0,1
0743,0.5,0.5,0,0,4
075,0.4621848739,0.4369747899,0,0.1008403361,238
0779,0.6744186047,0.2325581395,0,0.0930232558,43
07799,1,0,0,0,4
0781,1,0,0,0,5
07889,0,0,0,1,1
0829,1,0,0,0,1
0846,0,0,0,1,3
0971,0.6666666667,0.3333333333,0,0,3
0979,0.75,0,0,0.25,4
0980,0.6923076923,0.1538461538,0,0.1538461538,13
0990,0,1,0,0,1
0999,0.9166666667,0.0833333333,0,0,12
1100,0.6923076923,0.2307692308,0,0.0769230769,13
1103,1,0,0,0,1
1105,1,0,0,0,2
1120,0.3636363636,0.6363636364,0,0,11
1121,0.7272727273,0.2727272727,0,0,11
1129,0.6666666667,0.3333333333,0,0,3
1179,1,0,0,0,1
1274,1,0,0,0,1
13101,0.25,0.75,0,0,4
1322,1,0,0,0,2
1329,1,0,0,0,1
1330,0.8181818182,0.1818181818,0,0,11
1349,1,0,0,0,1
1363,0,0,0,1,5
1369,0,1,0,0,2
1539,0,0,0,1,1
1830,0,0,0,1,1
1838,0,0,0,1,1
185,1,0,0,0,1
20280,0,0,0,1,1
2189,0.6666666667,0,0,0.3333333333,3
23770,1,0,0,0,1
2390,0,0,0,1,1
24290,0,1,0,0,1
2449,1,0,0,0,1
25000,0.6,0.0571428571,0.3428571429,0,35
25002,0,0,1,0,2
25003,0,0,1,0,1
2501,0,0,1,0,5
25080,0,0.3333333333,0.6666666667,0,3
25090,0.6666666667,0,0.3333333333,0,3
2512,0,0.2222222222,0.7777777778,0,9
2529,1,0,0,0,1
2554,0,0,0,1,1
2720,1,0,0,0,1
2725,1,0,0,0,1
2749,0,0.6666666667,0,0.3333333333,3
2760,0,0,0,1,1
2765,0,0.1052631579,0.8947368421,0,19
2767,0,0,0,1,1
27700,1,0,0,0,1
2780,0,1,0,0,1
28181,0,0,0,1,1
28260,0,0.3333333333,0,0.6666666667,24
53190,0,1,0,0,1
5339,0.2727272727,0.1818181818,0,0.5454545455,11
53500,0,0.5344827586,0,0.4655172414,58
53510,0,1,0,0,1
53530,1,0,0,0,1
53540,0.25,0.25,0,0.5,4
5368,0,0.9411764706,0,0.0588235294,17
5370,1,0,0,0,1
541,0,0,0,1,10
55090,0.5714285714,0.2857142857,0,0.1428571429,7
55220,0,0,0,1,1
5531,0.5,0,0,0.5,2
5539,0.5,0.5,0,0,2
5559,0.5,0,0,0.5,2
5589,0.4615384615,0.3736263736,0.1648351648,0,91
5601,0,1,0,0,1
56039,0,0,0,1,1
5609,0,0,0,1,6
56210,0,0,0,1,1
56211,0,0,0,1,1
5640,0.25,0.3571428571,0,0.3928571429,28
5641,0.25,0.5,0,0.25,4
5650,0.5,0.5,0,0,2
5651,1,0,0,0,1
566,0,0,0,1,1
5691,0,0,0,1,1
5693,0,1,0,0,1
56942,0,0,0,1,1
56949,0,0,0,1,1
56989,0,1,0,0,1
5733,0.5,0,0,0.5,2
57420,0.2,0.2,0,0.6,5
5751,0,0.2,0,0.8,5
5772,0,0,0,1,1
5780,0,0,0,1,2
5781,0.6,0,0,0.4,5
5789,0,0,0,1,11
5798,0.6666666667,0.3333333333,0,0,3
586,0,0.3333333333,0,0.6666666667,3
59010,0,0,1,0,1
59080,0.3333333333,0,0.6666666667,0,3
5920,0,0.0588235294,0,0.9411764706,17
5939,0,1,0,0,1
5942,0,1,0,0,1
59509,0,1,0,0,1
59789,1,0,0,0,1
